ID,Klasifikasi,Ukuran,Lokasi
1,Mega debris,> 1 m,Laut lepas
2,Macro debris,> 2.5 cm - < 1 m,Pesisir & dasar laut
3,Meso debris,> 5 mm - < 2.5 cm,Permukaan & sedimen
4,Micro debris,0.33 - < 5 mm,Permukaan air
5,Nano debris,< 1 µm,Tidak terlihat
